Show,This Week GrossPotential Gross,Diff $,Avg TicketTop Ticket,Seats SoldSeats in Theatre,PerfsPreviews,% Cap,Diff % cap,Week Ending,TonyNominatedMusical,Theater
Death of a Salesman,458873.5,"-$4,117.75",$90.22$299.00,"5,086975",80,65.21,0.04,2022-12-04,False,Hudson Theatre
Funny Girl,1730036.25,"-$155,067.35",$179.20$0.00,"9,6541,219",80,99.0,6.71,2022-12-04,True,August Wilson Theatre
Hadestown,725169.25,"-$268,711.25",$105.14$0.00,"6,897918",80,93.91,-3.86,2022-12-04,False,Walter Kerr Theatre
Hamilton,2083446.0,"-$530,210.00",$206.16$449.00,"10,1061,324",80,95.41,-2.72,2022-12-04,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1317000.3,"-$541,937.05",$126.37$326.50,"10,4221,622",80,80.32,-10.28,2022-12-04,False,Lyric Theatre
Into the Woods,839474.89,"-$192,917.61",$102.11$0.00,"8,2211,503",80,68.37,7.1,2022-12-04,True,St. James Theatre
Kimberly Akimbo,536151.71,"$1,108.71",$108.47$263.00,"4,943773",80,79.93,2.41,2022-12-04,True,Booth Theatre
,126493.4,"-$97,895.60",$32.06$229.50,"3,946687",80,71.8,-9.86,2022-12-04,False,
Leopoldstadt,1087164.3,"$82,601.32",$155.15$347.00,"7,0071,075",80,81.48,2.08,2022-12-04,False,Longacre Theatre
The Lion King,2162999.0,"-$511,899.00",$167.92$199.00,"12,8811,696",80,94.94,0.81,2022-12-04,True,Minskoff Theatre
Mike Birbiglia: The Old Man & the Pool,398095.0,"$6,942.44",$65.21$277.00,"6,1051,079",70,80.83,2.79,2022-12-04,False,Vivian Beaumont Theater
MJ The Musical,1739485.0,"-$218,692.00",$157.35$250.00,"11,0551,387",80,99.63,-0.79,2022-12-04,False,Neil Simon Theatre
Moulin Rouge! The Musical,1399728.2,"$25,867.25",$136.40$0.00,"10,2621,300",80,98.67,-0.32,2022-12-04,True,Al Hirschfeld Theatre
The Music Man,3030899.14,"$165,356.64",$253.50$597.00,"11,9561,525",80,98.0,8.34,2022-12-04,False,Winter Garden Theatre
Ohio State Murders,196541.0,"-$32,618.00",$67.24$223.00,"2,9231,070",6,45.53,3.02,2022-12-04,False,James Earl Jones Theatre
The Phantom of the Opera,1966059.4,"-$275,257.52",$151.47$497.00,"12,9801,605",80,101.09,-0.37,2022-12-04,True,Majestic Theatre
The Piano Lesson,900019.8,"$67,854.26",$128.13$297.00,"7,0241,043",80,84.18,5.18,2022-12-04,False,Ethel Barrymore Theatre
SIX: The Musical,1317954.0,"-$29,604.00",$163.46$249.00,"8,0631,031",80,97.76,-1.63,2022-12-04,False,Lena Horne Theatre
Some Like It Hot,622356.7,"-$34,088.10",$94.48$257.00,"6,5871,448",7,64.99,-2.15,2022-12-04,True,Sam S. Shubert Theatre
A Strange Loop,516335.08,"-$2,521.54",$97.35$297.00,"5,304912",80,72.7,3.26,2022-12-04,False,Lyceum Theatre
Take Me Out,386295.7,"$73,614.50",$91.63$297.00,"4,2161,061",80,49.67,6.35,2022-12-04,False,Gerald Schoenfeld Theatre
Topdog/,301270.4,"$85,149.30",$82.83$248.00,"3,637802",80,56.69,12.83,2022-12-04,False,UnderdogJohn Golden Theatre
Wicked,1824793.0,"-$495,750.00",$132.01$250.00,"13,8231,807",80,95.62,-3.12,2022-12-04,True,Gershwin Theatre
1776,261522.8,"$35,056.10",$66.43$248.00,"3,937723",80,68.07,13.04,2022-12-11,True,American Airlines Theatre
Ain't No Mo',164591.5,"$43,690.90",$42.97$297.00,"3,8301,019",80,46.98,-22.45,2022-12-11,False,Belasco Theatre
Aladdin,1516343.2,"$90,459.71",$111.27$227.50,"13,6271,727",80,98.63,3.96,2022-12-11,True,New Amsterdam Theatre
Almost Famous,765060.45,"$30,493.70",$126.48$297.00,"6,0491,023",80,73.91,1.49,2022-12-11,False,Bernard B. Jacobs Theatre
"A Beautiful Noise, The Neil Diamond Musical",1447503.25,"$435,542.75",$164.96$347.50,"8,7751,152",80,95.21,4.05,2022-12-11,False,Broadhurst Theatre
Beetlejuice,1301397.4,"$178,375.80",$118.31$249.00,"11,0001,602",80,85.83,6.83,2022-12-11,True,Marquis Theatre
Between Riverside and Crazy,160076.0,"$42,085.25",$47.54$197.00,"3,367579",8,72.69,-7.82,2022-12-11,False,Helen Hayes Theater
The Book of Mormon,1158955.74,"$98,399.14",$136.24$0.00,"8,5071,066",80,99.75,6.35,2022-12-11,False,Eugene O'Neill Theatre
Chicago,699180.88,"$86,725.98",$90.83$197.00,"7,6981,080",80,89.1,10.37,2022-12-11,True,Ambassador Theatre
A Christmas Carol,742009.5,"$188,787.00",$94.51$229.00,"7,8511,185",80,82.82,14.74,2022-12-11,False,Nederlander Theatre
The Collaboration,312376.0,"$103,779.00",$75.07$279.00,"4,161637",8,81.65,-3.49,2022-12-11,False,Samuel J. Friedman Theatre
Death of a Salesman,481111.25,"$22,237.75",$87.54$299.00,"5,496975",80,70.46,5.25,2022-12-11,False,Hudson Theatre
Funny Girl,1892377.85,"$162,341.60",$193.99$0.00,"9,7551,219",80,100.03,1.03,2022-12-11,True,August Wilson Theatre
Hadestown,797708.25,"$72,539.00",$111.54$0.00,"7,152918",80,97.39,3.48,2022-12-11,False,Walter Kerr Theatre
Hamilton,2077730.0,"-$5,716.00",$194.49$449.00,"10,6831,324",80,100.86,5.45,2022-12-11,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1477979.15,"$160,978.85",$128.03$326.50,"11,5441,622",80,88.96,8.64,2022-12-11,False,Lyric Theatre
Into the Woods,898994.25,"$59,519.36",$103.20$0.00,"8,7111,516",80,71.83,3.46,2022-12-11,True,St. James Theatre
Kimberly Akimbo,570154.85,"$34,003.14",$107.70$263.00,"5,294773",80,85.61,5.68,2022-12-11,True,Booth Theatre
,281757.1,"$155,263.70",$51.12$229.50,"5,512687",80,100.29,28.49,2022-12-11,False,
Leopoldstadt,1078215.33,"-$8,948.97",$154.16$347.00,"6,9941,075",80,81.33,-0.15,2022-12-11,False,Longacre Theatre
The Lion King,2365967.0,"$202,968.00",$176.59$199.00,"13,3981,696",80,98.75,3.81,2022-12-11,True,Minskoff Theatre
Mike Birbiglia: The Old Man & the Pool,435310.0,"$37,215.00",$70.48$277.00,"6,1761,079",70,81.77,0.94,2022-12-11,False,Vivian Beaumont Theater
MJ The Musical,1764002.0,"$24,517.00",$158.59$250.00,"11,1231,387",80,100.24,0.61,2022-12-11,False,Neil Simon Theatre
Moulin Rouge! The Musical,1453652.1,"$53,923.90",$140.27$0.00,"10,3631,300",80,99.64,0.97,2022-12-11,True,Al Hirschfeld Theatre
The Music Man,3389856.9,"$358,957.76",$275.98$597.00,"12,2831,525",80,100.68,2.68,2022-12-11,False,Winter Garden Theatre
Ohio State Murders,300179.5,"$103,638.50",$54.56$223.00,"5,5021,070",44,64.28,18.75,2022-12-11,False,James Earl Jones Theatre
The Phantom of the Opera,2020244.58,"$54,185.18",$155.51$497.00,"12,9911,605",80,101.18,0.09,2022-12-11,True,Majestic Theatre
The Piano Lesson,938102.9,"$38,083.10",$126.16$297.00,"7,4361,043",80,89.12,4.94,2022-12-11,False,Ethel Barrymore Theatre
SIX: The Musical,1295320.0,"-$22,634.00",$160.65$249.00,"8,0631,031",80,97.76,0.0,2022-12-11,False,Lena Horne Theatre
Some Like It Hot,747141.85,"$124,785.15",$70.97$257.00,"10,5271,448",17,90.88,25.89,2022-12-11,True,Sam S. Shubert Theatre
A Strange Loop,508237.85,"-$8,097.23",$101.49$297.00,"5,008912",70,78.45,5.75,2022-12-11,False,Lyceum Theatre
Take Me Out,413322.3,"$27,026.60",$95.30$297.00,"4,3371,061",80,51.1,1.43,2022-12-11,False,Gerald Schoenfeld Theatre
Topdog/,264965.0,"-$36,305.40",$78.98$248.00,"3,355802",80,52.29,-4.4,2022-12-11,False,UnderdogJohn Golden Theatre
Wicked,2083245.0,"$258,452.00",$136.72$275.00,"15,2371,926",80,98.89,3.27,2022-12-11,True,Gershwin Theatre
1776,212110.1,"-$49,412.70",$59.18$248.00,"3,584723",70,70.82,2.75,2022-12-18,True,American Airlines Theatre
Ain't No Mo',499303.0,"$334,711.50",$65.89$297.00,"7,5781,019",80,92.96,45.98,2022-12-18,False,Belasco Theatre
Aladdin,1522437.33,"$6,094.13",$115.70$227.50,"13,1591,727",80,95.24,-3.39,2022-12-18,True,New Amsterdam Theatre
Almost Famous,703714.04,"-$61,346.41",$127.00$297.00,"5,5411,023",80,67.71,-6.2,2022-12-18,False,Bernard B. Jacobs Theatre
"A Beautiful Noise, The Neil Diamond Musical",1372099.22,"-$75,404.03",$163.95$347.50,"8,3691,152",80,90.81,-4.4,2022-12-18,False,Broadhurst Theatre
Beetlejuice,1449958.3,"$148,560.90",$123.72$249.00,"11,7201,602",80,91.45,5.62,2022-12-18,True,Marquis Theatre
Between Riverside and Crazy,163320.0,"$3,244.00",$42.45$197.00,"3,847579",8,83.05,10.36,2022-12-18,False,Helen Hayes Theater
The Book of Mormon,1221109.46,"$62,153.72",$145.08$0.00,"8,4171,066",80,98.7,-1.05,2022-12-18,False,Eugene O'Neill Theatre
Chicago,700320.43,"$1,139.55",$92.01$197.00,"7,6111,080",80,88.09,-1.01,2022-12-18,True,Ambassador Theatre
A Christmas Carol,823057.0,"$81,047.50",$103.04$229.00,"7,9881,185",80,84.26,1.44,2022-12-18,False,Nederlander Theatre
The Collaboration,203103.0,"-$109,273.00",$43.20$279.00,"4,702637",8,92.27,10.62,2022-12-18,False,Samuel J. Friedman Theatre
Death of a Salesman,455422.25,"-$25,689.00",$83.67$299.00,"5,443975",80,69.78,-0.68,2022-12-18,False,Hudson Theatre
Funny Girl,2005696.8,"$113,318.95",$213.28$0.00,"9,4041,219",80,96.43,-3.6,2022-12-18,True,August Wilson Theatre
Hadestown,847112.5,"$49,404.25",$115.55$0.00,"7,331918",80,99.82,2.43,2022-12-18,False,Walter Kerr Theatre
Hamilton,2255421.0,"$177,691.00",$212.27$449.00,"10,6251,324",80,100.31,-0.55,2022-12-18,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1520754.2,"$42,775.05",$131.08$326.50,"11,6021,622",80,89.41,0.45,2022-12-18,False,Lyric Theatre
Into the Woods,1000256.15,"$101,261.90",$108.02$0.00,"9,2601,530",80,75.65,3.82,2022-12-18,True,St. James Theatre
Kimberly Akimbo,502745.25,"-$67,409.60",$103.53$273.00,"4,856773",80,78.53,-7.08,2022-12-18,True,Booth Theatre
Leopoldstadt,895594.92,"-$182,620.41",$141.06$347.00,"6,3491,075",80,73.83,-7.5,2022-12-18,False,Longacre Theatre
The Lion King,2449001.0,"$83,034.00",$185.67$199.00,"13,1901,696",80,97.21,-1.54,2022-12-18,True,Minskoff Theatre
Mike Birbiglia: The Old Man & the Pool,398712.5,"-$36,597.50",$69.72$277.00,"5,7191,079",70,75.72,-6.05,2022-12-18,False,Vivian Beaumont Theater
MJ The Musical,1741473.0,"-$22,529.00",$157.07$250.00,"11,0871,387",80,99.92,-0.32,2022-12-18,False,Neil Simon Theatre
Moulin Rouge! The Musical,1400024.6,"-$53,627.50",$138.55$0.00,"10,1051,300",80,97.16,-2.48,2022-12-18,True,Al Hirschfeld Theatre
The Music Man,3249365.52,"-$140,491.38",$267.99$597.00,"12,1251,525",80,99.39,-1.29,2022-12-18,False,Winter Garden Theatre
Ohio State Murders,282787.0,"-$17,392.50",$75.01$223.00,"3,7701,070",80,44.04,-20.24,2022-12-18,False,James Earl Jones Theatre
The Phantom of the Opera,2039745.3,"$19,500.72",$156.65$497.00,"13,0211,605",80,101.41,0.23,2022-12-18,True,Majestic Theatre
The Piano Lesson,914751.88,"-$23,351.02",$126.16$297.00,"7,2511,043",80,86.9,-2.22,2022-12-18,False,Ethel Barrymore Theatre
SIX: The Musical,1311602.0,"$16,282.00",$164.24$249.00,"7,9861,031",80,96.82,-0.94,2022-12-18,False,Lena Horne Theatre
Some Like It Hot,802341.4,"$55,199.55",$93.97$257.00,"8,5381,448",80,73.71,-17.17,2022-12-18,True,Sam S. Shubert Theatre
A Strange Loop,520942.01,"$12,704.16",$95.27$297.00,"5,468912",80,74.95,-3.5,2022-12-18,False,Lyceum Theatre
Take Me Out,335942.8,"-$77,379.50",$84.37$297.00,"3,9821,061",80,46.91,-4.19,2022-12-18,False,Gerald Schoenfeld Theatre
Topdog/,257217.3,"-$7,747.70",$77.78$227.00,"3,307802",80,51.54,-0.75,2022-12-18,False,UnderdogJohn Golden Theatre
Wicked,2159025.0,"$75,780.00",$141.44$275.00,"15,2651,926",80,99.07,0.18,2022-12-18,True,Gershwin Theatre
1776,130241.8,"-$81,868.30",$49.02$248.00,"2,657723",60,61.25,-9.57,2022-12-25,True,American Airlines Theatre
Ain't No Mo',765341.5,"$266,038.50",$109.23$297.00,"7,0071,019",70,98.23,5.27,2022-12-25,False,Belasco Theatre
Aladdin,1642298.45,"$119,861.12",$137.88$249.50,"11,9111,727",70,98.53,3.29,2022-12-25,True,New Amsterdam Theatre
Almost Famous,651161.32,"-$52,552.72",$114.50$297.00,"5,6871,023",80,69.49,1.78,2022-12-25,False,Bernard B. Jacobs Theatre
"A Beautiful Noise, The Neil Diamond Musical",788207.25,"-$583,891.97",$147.30$347.50,"5,3511,152",70,66.36,-24.45,2022-12-25,False,Broadhurst Theatre
Beetlejuice,1394442.6,"-$55,515.70",$129.38$249.00,"10,7781,602",70,96.11,4.66,2022-12-25,True,Marquis Theatre
Between Riverside and Crazy,131019.25,"-$32,300.75",$42.77$197.00,"3,063579",70,75.57,-7.48,2022-12-25,False,Helen Hayes Theater
The Book of Mormon,1084164.18,"-$136,945.28",$153.17$0.00,"7,0781,066",70,94.85,-3.85,2022-12-25,False,Eugene O'Neill Theatre
Chicago,721864.75,"$21,544.32",$102.02$227.00,"7,0761,080",70,93.6,5.51,2022-12-25,True,Ambassador Theatre
A Christmas Carol,729574.0,"-$93,483.00",$122.37$229.00,"5,9621,185",80,62.89,-21.37,2022-12-25,False,Nederlander Theatre
Death of a Salesman,330889.75,"-$124,532.50",$74.29$299.00,"4,454975",70,65.26,-4.52,2022-12-25,False,Hudson Theatre
Funny Girl,1895184.75,"-$110,512.05",$222.94$0.00,"8,5011,219",70,99.62,3.19,2022-12-25,True,August Wilson Theatre
Hadestown,760629.5,"-$86,483.00",$117.69$0.00,"6,463918",70,100.58,0.76,2022-12-25,False,Walter Kerr Theatre
Hamilton,2656102.0,"$400,681.00",$248.44$449.00,"10,6911,324",80,100.93,0.62,2022-12-25,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1993973.7,"$473,219.50",$156.17$449.00,"12,7681,622",80,98.4,8.99,2022-12-25,False,Lyric Theatre
Into the Woods,876395.85,"-$123,860.30",$106.11$0.00,"8,2591,653",70,71.38,-4.27,2022-12-25,True,St. James Theatre
Kimberly Akimbo,510826.5,"$8,081.25",$111.58$273.00,"4,578773",80,74.03,-4.5,2022-12-25,True,Booth Theatre
Leopoldstadt,655268.68,"-$240,326.24",$116.62$347.00,"5,6191,075",70,74.67,0.84,2022-12-25,False,Longacre Theatre
The Lion King,2590306.0,"$141,305.00",$226.48$199.00,"11,4371,696",70,96.34,-0.87,2022-12-25,True,Minskoff Theatre
Mike Birbiglia: The Old Man & the Pool,341949.5,"-$56,763.00",$69.00$277.00,"4,9561,079",70,65.62,-10.1,2022-12-25,False,Vivian Beaumont Theater
MJ The Musical,1840567.0,"$99,094.00",$165.71$250.00,"11,1071,387",80,100.1,0.18,2022-12-25,False,Neil Simon Theatre
Moulin Rouge! The Musical,1159957.25,"-$240,067.35",$132.48$0.00,"8,7561,300",70,96.22,-0.94,2022-12-25,True,Al Hirschfeld Theatre
The Music Man,2617660.28,"-$631,705.24",$253.75$697.00,"10,3161,525",70,96.64,-2.75,2022-12-25,False,Winter Garden Theatre
Ohio State Murders,182501.86,"-$100,285.14",$68.05$223.00,"2,6821,070",70,35.81,-8.23,2022-12-25,False,James Earl Jones Theatre
The Phantom of the Opera,1921571.51,"-$118,173.79",$168.60$497.00,"11,3971,605",70,101.44,0.03,2022-12-25,True,Majestic Theatre
The Piano Lesson,639200.5,"-$275,551.38",$118.52$297.00,"5,3931,043",70,73.87,-13.03,2022-12-25,False,Ethel Barrymore Theatre
SIX: The Musical,1274284.0,"-$37,318.00",$160.09$249.00,"7,9601,031",80,96.51,-0.31,2022-12-25,False,Lena Horne Theatre
Some Like It Hot,543367.66,"-$258,973.74",$102.62$257.00,"5,2951,448",70,52.24,-21.47,2022-12-25,True,Sam S. Shubert Theatre
A Strange Loop,283086.1,"-$237,855.91",$90.21$297.00,"3,138912",50,68.82,-6.13,2022-12-25,False,Lyceum Theatre
Take Me Out,224363.28,"-$111,579.52",$64.60$297.00,"3,4731,061",60,54.56,7.65,2022-12-25,False,Gerald Schoenfeld Theatre
Topdog/,200629.5,"-$56,587.80",$75.94$273.00,"2,642802",80,41.18,-10.36,2022-12-25,False,UnderdogJohn Golden Theatre
Wicked,2362930.0,"$203,905.00",$156.28$275.00,"15,1201,926",80,98.13,-0.94,2022-12-25,True,Gershwin Theatre
1776,326222.8,"$195,981.00",$66.81$248.00,"4,883723",70,96.48,35.23,2023-01-01,True,American Airlines Theatre
Aladdin,2849723.39,"$1,207,424.94",$183.49$299.50,"15,5311,727",90,99.92,1.39,2023-01-01,True,New Amsterdam Theatre
Almost Famous,1055041.66,"$403,880.34",$133.23$297.00,"7,9191,023",80,96.76,27.27,2023-01-01,False,Bernard B. Jacobs Theatre
"A Beautiful Noise, The Neil Diamond Musical",1425881.63,"$637,674.38",$163.48$347.50,"8,7221,152",90,84.12,17.76,2023-01-01,False,Broadhurst Theatre
Beetlejuice,2462831.0,"$1,068,388.40",$169.42$249.00,"14,5371,602",90,100.83,4.72,2023-01-01,True,Marquis Theatre
Between Riverside and Crazy,260085.0,"$129,065.75",$58.37$197.00,"4,456579",80,96.2,20.63,2023-01-01,False,Helen Hayes Theater
The Book of Mormon,1680123.95,"$595,959.77",$172.00$0.00,"9,7681,066",90,101.81,6.96,2023-01-01,False,Eugene O'Neill Theatre
Chicago,1299404.45,"$577,539.70",$132.00$238.00,"9,8441,080",90,101.28,7.68,2023-01-01,True,Ambassador Theatre
A Christmas Carol,522424.0,"-$207,150.00",$89.84$229.00,"5,8151,185",90,54.52,-8.37,2023-01-01,False,Nederlander Theatre
The Collaboration,248590.0,$0.00,$73.68$279.00,"3,374637",70,75.67,0.0,2023-01-01,False,Samuel J. Friedman Theatre
Death of a Salesman,624506.75,"$293,617.00",$89.16$299.00,"7,004975",80,89.79,24.53,2023-01-01,False,Hudson Theatre
Funny Girl,2405900.5,"$510,715.75",$235.23$0.00,"10,2281,219",90,93.23,-6.39,2023-01-01,True,August Wilson Theatre
Hadestown,1279809.5,"$519,180.00",$153.07$0.00,"8,361918",90,101.2,0.62,2023-01-01,False,Walter Kerr Theatre
Hamilton,2740599.0,"$84,497.00",$254.54$449.00,"10,7671,324",80,101.65,0.72,2023-01-01,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,2671191.0,"$677,217.30",$205.86$449.00,"12,9761,622",80,100.0,1.6,2023-01-01,False,Lyric Theatre
Into the Woods,1892625.35,"$1,016,229.50",$134.77$0.00,"14,0431,655",90,94.28,22.9,2023-01-01,True,St. James Theatre
Kimberly Akimbo,674355.76,"$163,529.26",$115.95$273.00,"5,816773",80,94.05,20.02,2023-01-01,True,Booth Theatre
Leopoldstadt,915701.05,"$260,432.37",$115.49$347.00,"7,9291,075",90,81.95,7.28,2023-01-01,False,Longacre Theatre
The Lion King,4315264.0,"$1,724,958.00",$284.89$199.00,"15,1471,696",90,99.23,2.89,2023-01-01,True,Minskoff Theatre
Mike Birbiglia: The Old Man & the Pool,619469.0,"$277,519.50",$80.26$277.00,"7,7181,079",80,89.41,23.79,2023-01-01,False,Vivian Beaumont Theater
MJ The Musical,2223069.0,"$382,502.00",$199.59$250.00,"11,1381,387",80,100.38,0.28,2023-01-01,False,Neil Simon Theatre
Moulin Rouge! The Musical,1975131.6,"$815,174.35",$168.94$0.00,"11,6911,300",90,99.92,3.7,2023-01-01,True,Al Hirschfeld Theatre
The Music Man,3971530.8,"$1,353,870.52",$285.80$797.00,"13,8961,525",90,101.25,4.61,2023-01-01,False,Winter Garden Theatre
Ohio State Murders,311892.5,"$129,390.64",$65.93$223.00,"4,7311,070",90,49.13,13.32,2023-01-01,False,James Earl Jones Theatre
The Phantom of the Opera,2788017.3,"$866,445.79",$189.79$497.00,"14,6901,605",90,101.7,0.26,2023-01-01,True,Majestic Theatre
The Piano Lesson,1140436.74,"$501,236.24",$129.08$297.00,"8,8351,043",90,94.12,20.25,2023-01-01,False,Ethel Barrymore Theatre
SIX: The Musical,1649206.0,"$374,922.00",$199.54$249.00,"8,2651,031",80,100.21,3.7,2023-01-01,False,Lena Horne Theatre
Some Like It Hot,1176786.16,"$633,418.50",$106.55$257.00,"11,0441,448",90,84.75,32.51,2023-01-01,True,Sam S. Shubert Theatre
A Strange Loop,731420.0,"$448,333.90",$105.29$297.00,"6,947912",80,95.22,26.4,2023-01-01,False,Lyceum Theatre
Take Me Out,537588.5,"$313,225.22",$85.24$317.00,"6,3071,061",90,66.05,11.49,2023-01-01,False,Gerald Schoenfeld Theatre
Topdog/,345566.7,"$144,937.20",$88.31$273.00,"3,913802",80,60.99,19.81,2023-01-01,False,UnderdogJohn Golden Theatre
Wicked,3152679.0,"$789,749.00",$181.88$275.00,"17,3341,926",90,100.0,1.87,2023-01-01,True,Gershwin Theatre
1776,361426.0,"$35,203.20",$69.42$248.00,"5,206723",80,90.01,-6.47,2023-01-08,True,American Airlines Theatre
Aladdin,1419042.3,"-$1,430,681.09",$103.63$199.50,"13,6941,727",80,99.12,-0.8,2023-01-08,True,New Amsterdam Theatre
Almost Famous,886112.13,"-$168,929.53",$118.73$297.00,"7,4631,023",80,91.19,-5.57,2023-01-08,False,Bernard B. Jacobs Theatre
"A Beautiful Noise, The Neil Diamond Musical",1071060.67,"-$354,820.96",$150.79$347.50,"7,1031,152",80,77.07,-7.05,2023-01-08,False,Broadhurst Theatre
Beetlejuice,2146200.0,"-$316,631.00",$165.81$249.00,"12,9441,602",80,101.0,0.17,2023-01-08,True,Marquis Theatre
Between Riverside and Crazy,139918.75,"-$120,166.25",$66.79$197.00,"2,095579",40,90.46,-5.74,2023-01-08,False,Helen Hayes Theater
The Book of Mormon,1127226.11,"-$552,897.84",$131.10$0.00,"8,5981,066",80,100.82,-0.99,2023-01-08,False,Eugene O'Neill Theatre
Chicago,760026.8,"-$539,377.65",$93.24$197.00,"8,1511,080",80,94.34,-6.94,2023-01-08,True,Ambassador Theatre
The Collaboration,297932.0,"$49,342.00",$74.86$279.00,"3,980637",80,78.1,2.43,2023-01-08,False,Samuel J. Friedman Theatre
Death of a Salesman,716612.5,"$92,105.75",$101.94$299.00,"7,030975",80,90.13,0.34,2023-01-08,False,Hudson Theatre
Funny Girl,2062739.1,"-$343,161.40",$215.65$0.00,"9,5651,219",80,98.08,4.85,2023-01-08,True,August Wilson Theatre
Hadestown,834391.5,"-$445,418.00",$112.73$0.00,"7,402918",80,100.79,-0.41,2023-01-08,False,Walter Kerr Theatre
Hamilton,2120811.0,"-$619,788.00",$198.62$449.00,"10,6781,324",80,100.81,-0.84,2023-01-08,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1649752.5,"-$1,021,438.50",$127.28$399.00,"12,9621,622",80,99.89,-0.11,2023-01-08,False,Lyric Theatre
Into the Woods,1496875.7,"-$395,749.65",$131.18$0.00,"11,4111,681",80,84.85,-9.43,2023-01-08,True,St. James Theatre
Kimberly Akimbo,582438.0,"-$91,917.76",$99.51$273.00,"5,853773",80,94.65,0.6,2023-01-08,True,Booth Theatre
Leopoldstadt,808223.9,"-$107,477.15",$137.22$347.00,"5,8901,075",80,68.49,-13.46,2023-01-08,False,Longacre Theatre
The Lion King,1998294.0,"-$2,316,970.00",$147.48$199.00,"13,5501,696",80,99.87,0.64,2023-01-08,True,Minskoff Theatre
Mike Birbiglia: The Old Man & the Pool,653674.0,"$34,205.00",$84.41$347.00,"7,7441,079",80,89.71,0.3,2023-01-08,False,Vivian Beaumont Theater
MJ The Musical,1741104.0,"-$481,965.00",$156.24$250.00,"11,1441,387",80,100.43,0.05,2023-01-08,False,Neil Simon Theatre
Moulin Rouge! The Musical,1343673.5,"-$631,458.10",$129.71$0.00,"10,3591,300",80,99.61,-0.31,2023-01-08,True,Al Hirschfeld Theatre
The Music Man,3146164.16,"-$825,366.64",$257.99$697.00,"12,1951,525",80,99.96,-1.29,2023-01-08,False,Winter Garden Theatre
Ohio State Murders,361241.5,"$49,349.00",$70.46$223.00,"5,1271,070",80,59.89,10.76,2023-01-08,False,James Earl Jones Theatre
The Phantom of the Opera,2185285.65,"-$602,731.65",$167.35$397.00,"13,0581,605",80,101.7,0.0,2023-01-08,True,Majestic Theatre
The Piano Lesson,987431.45,"-$153,005.29",$126.29$323.00,"7,8191,043",80,93.71,-0.41,2023-01-08,False,Ethel Barrymore Theatre
SIX: The Musical,1221435.0,"-$427,771.00",$150.68$249.00,"8,1061,031",80,98.28,-1.93,2023-01-08,False,Lena Horne Theatre
Some Like It Hot,860839.35,"-$315,946.81",$96.45$257.00,"8,9251,448",80,77.05,-7.7,2023-01-08,True,Sam S. Shubert Theatre
A Strange Loop,494106.2,"-$237,313.80",$112.53$297.00,"4,391912",50,96.29,1.07,2023-01-08,False,Lyceum Theatre
Take Me Out,413618.5,"-$123,970.00",$79.03$297.00,"5,2341,061",80,61.66,-4.39,2023-01-08,False,Gerald Schoenfeld Theatre
Topdog/,401055.0,"$55,488.30",$85.20$273.00,"4,707802",80,73.36,12.37,2023-01-08,False,UnderdogJohn Golden Theatre
Wicked,1982764.0,"-$1,169,915.00",$129.60$275.00,"15,2991,926",80,99.29,-0.71,2023-01-08,True,Gershwin Theatre
Aladdin,1245594.0,"-$173,448.30",$92.43$215.50,"13,4761,727",80,97.54,-1.58,2023-01-15,True,New Amsterdam Theatre
"A Beautiful Noise, The Neil Diamond Musical",1184612.52,"$113,551.85",$155.48$347.50,"7,6191,152",80,82.67,5.6,2023-01-15,False,Broadhurst Theatre
Between Riverside and Crazy,307645.75,"$167,727.00",$73.01$197.00,"4,214579",80,90.98,0.52,2023-01-15,False,Helen Hayes Theater
The Book of Mormon,1059684.03,"-$67,542.08",$126.67$0.00,"8,3661,066",80,98.1,-2.72,2023-01-15,False,Eugene O'Neill Theatre
Chicago,627372.8,"-$132,654.00",$91.68$197.00,"6,8431,080",70,90.52,-3.82,2023-01-15,True,Ambassador Theatre
The Collaboration,351840.0,"$53,908.00",$83.02$279.00,"4,238637",80,83.16,5.06,2023-01-15,False,Samuel J. Friedman Theatre
Death of a Salesman,914406.75,"$197,794.25",$120.16$299.00,"7,610975",80,97.56,7.43,2023-01-15,False,Hudson Theatre
Funny Girl,2017877.25,"-$44,861.85",$210.68$0.00,"9,5781,219",80,98.22,0.14,2023-01-15,True,August Wilson Theatre
Hadestown,840941.0,"$6,549.50",$113.98$0.00,"7,378918",80,100.46,-0.33,2023-01-15,False,Walter Kerr Theatre
Hamilton,2078621.0,"-$42,190.00",$194.99$449.00,"10,6601,324",80,100.64,-0.17,2023-01-15,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1494402.0,"-$155,350.50",$123.21$399.00,"12,1291,622",80,93.47,-6.42,2023-01-15,False,Lyric Theatre
Kimberly Akimbo,615478.05,"$33,040.05",$103.62$263.00,"5,940773",80,96.05,1.4,2023-01-15,True,Booth Theatre
Leopoldstadt,870144.68,"$61,920.78",$132.32$347.00,"6,5761,075",80,76.47,7.98,2023-01-15,False,Longacre Theatre
