Show,This Week GrossPotential Gross,Diff $,Avg TicketTop Ticket,Seats SoldSeats in Theatre,PerfsPreviews,% Cap,Diff % cap,Week Ending,TonyNominatedMusical,Theater
The Music Man,1724638.83,"$1,307,472.83",$282.96,"6,0951,525",5,79.93,-18.63,2022-01-09,False,Winter Garden Theatre
The Phantom of the Opera,654120.0,"-$763,456.62",$94.83,"6,8981,605",80,53.72,-29.38,2022-01-09,True,Majestic Theatre
SIX: The Musical,872654.0,"$591,658.00",$129.49,"6,7391,031",80,81.7,-3.41,2022-01-09,False,Lena Horne Theatre
Slave Play,110636.5,"$24,529.25",$33.64,"3,2891,250",80,32.89,6.72,2022-01-09,False,August Wilson Theatre
Tina: The Tina Turner Musical,380422.5,"-$339,748.00",$124.16,"3,0641,478",80,25.91,-10.8,2022-01-09,True,Lunt-Fontanne Theatre
To Kill A Mockingbird,362365.5,"-$1,200,948.06",$81.21,"4,4621,435",70,44.42,-43.25,2022-01-09,False,Sam S. Shubert Theatre
Trouble in Mind,273091.83,"$168,669.19",$73.63,"3,709727",80,63.77,6.86,2022-01-09,False,American Airlines Theatre
Wicked,1123096.0,"-$1,657,069.00",$114.37,"9,8201,807",80,67.93,-28.4,2022-01-09,True,Gershwin Theatre
Aladdin,618812.2,"-$148,317.16",$70.04,"8,8351,727",80,63.95,-8.88,2022-01-16,True,New Amsterdam Theatre
The Book of Mormon,766405.35,"$16,438.25",$107.38,"7,1371,066",80,83.69,2.38,2022-01-16,False,Eugene O'Neill Theatre
Chicago,268456.4,"-$45,631.39",$88.11,"3,0471,080",80,35.27,-5.75,2022-01-16,True,Ambassador Theatre
Clyde's,230503.25,"$81,095.25",$55.68,"4,140585",80,88.46,26.26,2022-01-16,False,Helen Hayes Theater
Come From Away,310848.0,"$121,419.81",$78.00,"3,9851,046",80,47.62,5.32,2022-01-16,False,Gerald Schoenfeld Theatre
Company,866806.28,"$128,496.14",$124.20,"6,9791,046",80,83.4,14.58,2022-01-16,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,434638.75,"$20,228.55",$87.73,"4,9541,400",60,58.98,12.08,2022-01-16,False,St. James Theatre
Dear Evan Hansen,669695.72,"$12,288.72",$124.69,"5,371984",70,77.98,0.95,2022-01-16,True,Music Box Theatre
Flying Over Sunset,234059.0,"$98,792.00",$38.20,"6,1271,066",80,71.85,34.26,2022-01-16,False,Vivian Beaumont Theater
Girl From the North Country,134543.4,"$27,470.15",$53.24,"2,527998",80,31.65,12.87,2022-01-16,False,Belasco Theatre
Hadestown,796093.4,"-$5,555.45",$113.65,"7,005918",80,95.38,7.4,2022-01-16,False,Walter Kerr Theatre
Hamilton,2098977.0,"-$23,001.00",$220.97,"9,4991,324",80,89.68,-0.44,2022-01-16,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1327275.0,"$16,960.20",$127.92,"10,3761,450",80,89.45,6.04,2022-01-16,False,Lyric Theatre
The Lion King,1064958.0,"-$222,682.00",$106.58,"9,9921,696",80,73.64,-7.85,2022-01-16,True,Minskoff Theatre
MJ The Musical,532088.0,"-$71,900.50",$75.39,"7,0581,414",7,71.31,7.82,2022-01-16,False,Neil Simon Theatre
Moulin Rouge! The Musical,1043359.6,"$56,261.25",$128.27,"8,1341,300",80,78.21,6.32,2022-01-16,True,Al Hirschfeld Theatre
The Music Man,2620464.25,"$895,825.42",$267.86,"9,7831,525",8,80.19,0.26,2022-01-16,False,Winter Garden Theatre
The Phantom of the Opera,543010.24,"-$111,109.76",$94.62,"5,7391,605",80,44.7,-9.02,2022-01-16,True,Majestic Theatre
SIX: The Musical,930883.0,"$58,229.00",$132.77,"7,0111,031",80,85.0,3.3,2022-01-16,False,Lena Horne Theatre
Skeleton Crew,74850.0,$0.00,$26.50,"2,824575",8,61.39,0.0,2022-01-16,False,Samuel J. Friedman Theatre
Slave Play,173563.5,"$62,927.00",$38.73,"4,4811,250",80,44.81,11.92,2022-01-16,False,August Wilson Theatre
Tina: The Tina Turner Musical,427870.5,"$47,448.00",$122.92,"3,4811,478",80,29.44,3.53,2022-01-16,True,Lunt-Fontanne Theatre
To Kill A Mockingbird,465524.28,"$103,158.78",$84.78,"5,4911,435",80,47.83,3.41,2022-01-16,False,Sam S. Shubert Theatre
Wicked,1088026.0,"-$35,070.00",$111.87,"9,7261,807",80,67.28,-0.65,2022-01-16,True,Gershwin Theatre
The Book of Mormon,677882.69,"-$88,522.66",$96.90,"6,9961,066",80,82.04,-1.65,2022-01-23,False,Eugene O'Neill Theatre
Chicago,275308.75,"$6,852.35",$81.33,"3,3851,080",60,52.24,16.97,2022-01-23,True,Ambassador Theatre
Come From Away,325469.86,"$14,621.86",$63.87,"5,0961,046",80,60.9,13.28,2022-01-23,False,Gerald Schoenfeld Theatre
Company,816949.11,"-$49,857.17",$112.67,"7,2511,046",80,86.65,3.25,2022-01-23,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,391291.25,"-$43,347.50",$71.64,"5,4621,400",60,65.02,6.04,2022-01-23,False,St. James Theatre
Dear Evan Hansen,630469.8,"-$39,225.92",$116.60,"5,407984",70,78.5,0.52,2022-01-23,True,Music Box Theatre
Girl From the North Country,260979.6,"$126,436.20",$62.57,"4,171998",80,52.24,20.59,2022-01-23,False,Belasco Theatre
Hadestown,704445.95,"-$91,647.45",$101.37,"6,949918",80,94.62,-0.76,2022-01-23,False,Walter Kerr Theatre
Hamilton,1967657.0,"-$131,320.00",$215.02,"9,1511,324",80,86.4,-3.28,2022-01-23,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1199909.25,"-$127,365.75",$111.33,"10,7781,450",80,92.91,3.46,2022-01-23,False,Lyric Theatre
The Lion King,1050623.0,"-$14,335.00",$93.92,"11,1861,696",80,82.44,8.8,2022-01-23,True,Minskoff Theatre
MJ The Musical,624402.5,"$92,314.50",$79.27,"7,8771,414",6,92.85,21.54,2022-01-23,False,Neil Simon Theatre
Moulin Rouge! The Musical,980487.1,"-$62,872.50",$111.12,"8,8241,300",80,84.85,6.64,2022-01-23,True,Al Hirschfeld Theatre
The Music Man,2580976.49,"-$39,487.76",$257.17,"10,0361,525",8,82.26,2.07,2022-01-23,False,Winter Garden Theatre
The Phantom of the Opera,496168.99,"-$46,841.25",$81.01,"6,1251,605",80,47.7,3.0,2022-01-23,True,Majestic Theatre
SIX: The Musical,942751.0,"$11,868.00",$131.50,"7,1691,031",80,86.92,1.92,2022-01-23,False,Lena Horne Theatre
Skeleton Crew,113731.0,"$38,881.00",$26.24,"4,335575",8,94.24,32.85,2022-01-23,False,Samuel J. Friedman Theatre
Slave Play,294236.5,"$120,673.00",$48.81,"6,0281,250",70,68.89,24.08,2022-01-23,False,August Wilson Theatre
Tina: The Tina Turner Musical,406435.5,"-$21,435.00",$98.67,"4,1191,478",80,34.84,5.4,2022-01-23,True,Lunt-Fontanne Theatre
Wicked,1030380.5,"-$57,645.50",$98.86,"10,4231,807",70,82.4,15.12,2022-01-23,True,Gershwin Theatre
The Book of Mormon,651270.29,"-$26,612.40",$93.91,"6,9351,066",80,81.32,-0.72,2022-01-30,False,Eugene O'Neill Theatre
Chicago,254383.6,"-$20,925.15",$77.51,"3,2821,080",80,37.99,-14.25,2022-01-30,True,Ambassador Theatre
Come From Away,314921.5,"-$10,548.36",$61.77,"5,0981,046",80,60.92,0.02,2022-01-30,False,Gerald Schoenfeld Theatre
Company,737167.98,"-$79,781.13",$105.78,"6,9691,046",80,83.28,-3.37,2022-01-30,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,358570.2,"-$32,721.05",$69.72,"5,1431,400",60,61.23,-3.79,2022-01-30,False,St. James Theatre
Dear Evan Hansen,511759.75,"-$118,710.05",$107.17,"4,775984",70,69.32,-9.18,2022-01-30,True,Music Box Theatre
Hadestown,683629.65,"-$20,816.30",$99.23,"6,889918",80,93.8,-0.82,2022-01-30,False,Walter Kerr Theatre
Hamilton,1769854.0,"-$197,803.00",$213.62,"8,2851,324",80,78.22,-8.18,2022-01-30,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1124472.5,"-$75,436.75",$106.47,"10,5611,450",80,91.04,-1.87,2022-01-30,False,Lyric Theatre
The Lion King,1010757.0,"-$39,866.00",$90.09,"11,2191,696",80,82.69,0.25,2022-01-30,True,Minskoff Theatre
MJ The Musical,706645.0,"$82,242.50",$84.87,"8,3261,414",7,84.12,-8.73,2022-01-30,False,Neil Simon Theatre
Moulin Rouge! The Musical,906928.3,"-$73,558.80",$103.46,"8,7661,300",80,84.29,-0.56,2022-01-30,True,Al Hirschfeld Theatre
The Music Man,2493132.11,"-$87,844.38",$250.82,"9,9401,525",8,81.48,-0.78,2022-01-30,False,Winter Garden Theatre
The Phantom of the Opera,417970.92,"-$78,198.07",$71.08,"5,8801,605",80,45.79,-1.91,2022-01-30,True,Majestic Theatre
SIX: The Musical,916509.0,"-$26,242.00",$129.56,"7,0741,031",80,85.77,-1.15,2022-01-30,False,Lena Horne Theatre
Skeleton Crew,122894.0,"$9,163.00",$25.73,"4,776575",62,103.83,9.59,2022-01-30,False,Samuel J. Friedman Theatre
Tina: The Tina Turner Musical,427058.0,"$20,622.50",$96.01,"4,4481,478",80,37.62,2.78,2022-01-30,True,Lunt-Fontanne Theatre
Wicked,910556.5,"-$119,824.00",$93.83,"9,7041,807",70,76.72,-5.68,2022-01-30,True,Gershwin Theatre
The Book of Mormon,744020.44,"$92,750.15",$100.64,"7,3931,066",80,86.69,5.37,2022-02-06,False,Eugene O'Neill Theatre
Chicago,350834.95,"$96,451.35",$77.36,"4,5351,080",80,52.49,14.5,2022-02-06,True,Ambassador Theatre
Come From Away,413462.9,"$98,541.40",$75.88,"5,4491,046",80,65.12,4.2,2022-02-06,False,Gerald Schoenfeld Theatre
Company,750823.54,"$13,655.56",$99.22,"7,5671,046",80,90.43,7.15,2022-02-06,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,371658.4,"$13,088.20",$74.35,"4,9991,400",50,71.41,10.18,2022-02-06,False,St. James Theatre
Dear Evan Hansen,587030.84,"$75,271.09",$103.46,"5,674984",70,82.38,13.06,2022-02-06,True,Music Box Theatre
Hadestown,723006.25,"$39,376.60",$101.77,"7,104918",80,96.73,2.93,2022-02-06,False,Walter Kerr Theatre
Hamilton,1723288.0,"-$46,566.00",$204.40,"8,4311,324",80,79.6,1.38,2022-02-06,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1232538.25,"$108,065.75",$115.59,"10,6631,450",80,91.92,0.88,2022-02-06,False,Lyric Theatre
The Lion King,1158689.0,"$147,932.00",$95.09,"12,1851,696",80,89.81,7.12,2022-02-06,True,Minskoff Theatre
MJ The Musical,874266.0,"$167,621.00",$86.50,"10,1071,414",71,89.35,5.23,2022-02-06,False,Neil Simon Theatre
Moulin Rouge! The Musical,1015998.55,"$109,070.25",$107.76,"9,4281,300",80,90.65,6.36,2022-02-06,True,Al Hirschfeld Theatre
The Music Man,2786167.48,"$293,035.37",$246.69,"11,2941,525",8,92.57,11.09,2022-02-06,False,Winter Garden Theatre
The Phantom of the Opera,506932.5,"$88,961.58",$75.54,"6,7111,605",80,52.27,6.48,2022-02-06,True,Majestic Theatre
SIX: The Musical,970822.0,"$54,313.00",$136.93,"7,0901,031",80,85.96,0.19,2022-02-06,False,Lena Horne Theatre
Skeleton Crew,221502.0,"$98,608.00",$46.25,"4,789575",80,104.11,0.28,2022-02-06,False,Samuel J. Friedman Theatre
Tina: The Tina Turner Musical,559575.5,"$132,517.50",$98.97,"5,6541,478",80,47.82,10.2,2022-02-06,True,Lunt-Fontanne Theatre
Wicked,1136319.5,"$225,763.00",$99.79,"11,3871,807",70,90.02,13.3,2022-02-06,True,Gershwin Theatre
The Book of Mormon,785767.38,"$41,746.94",$112.41,"6,9901,066",70,93.67,6.98,2022-02-13,False,Eugene O'Neill Theatre
Chicago,421628.75,"$70,793.80",$76.44,"5,5161,080",80,63.84,11.35,2022-02-13,True,Ambassador Theatre
Come From Away,439628.5,"$26,165.60",$78.09,"5,6301,046",80,67.28,2.16,2022-02-13,False,Gerald Schoenfeld Theatre
Company,804797.98,"$53,974.44",$101.87,"7,9001,046",80,94.41,3.98,2022-02-13,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,544722.6,"$173,064.20",$90.64,"6,0101,400",60,71.55,0.14,2022-02-13,False,St. James Theatre
Dear Evan Hansen,671393.4,"$84,362.56",$101.02,"6,646984",80,84.43,2.05,2022-02-13,True,Music Box Theatre
Hadestown,766616.85,"$43,610.60",$106.15,"7,222918",80,98.34,1.61,2022-02-13,False,Walter Kerr Theatre
Hamilton,1826363.0,"$103,075.00",$201.05,"9,0841,324",80,85.76,6.16,2022-02-13,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1299884.5,"$67,346.25",$111.40,"11,6691,579",80,92.38,0.46,2022-02-13,False,Lyric Theatre
The Lion King,1275053.8,"$116,364.80",$99.03,"12,8751,696",80,94.89,5.08,2022-02-13,True,Minskoff Theatre
MJ The Musical,1238201.5,"$363,935.50",$118.42,"10,4561,414",80,92.43,3.08,2022-02-13,False,Neil Simon Theatre
Moulin Rouge! The Musical,1165375.9,"$149,377.35",$115.48,"10,0921,300",80,97.04,6.39,2022-02-13,True,Al Hirschfeld Theatre
The Music Man,2850823.33,"$64,655.85",$242.42,"11,7601,525",53,96.39,3.82,2022-02-13,False,Winter Garden Theatre
The Phantom of the Opera,705895.0,"$198,962.50",$79.51,"8,8781,605",80,69.14,16.87,2022-02-13,True,Majestic Theatre
SIX: The Musical,994373.0,"$23,551.00",$134.21,"7,4091,031",80,89.83,3.87,2022-02-13,False,Lena Horne Theatre
Skeleton Crew,249753.0,"$28,251.00",$52.45,"4,762575",80,103.52,-0.59,2022-02-13,False,Samuel J. Friedman Theatre
Tina: The Tina Turner Musical,766140.5,"$206,565.00",$101.64,"7,5381,478",80,63.75,15.93,2022-02-13,True,Lunt-Fontanne Theatre
Wicked,1272705.0,"$136,385.50",$102.66,"12,3971,807",70,98.01,7.99,2022-02-13,True,Gershwin Theatre
The Book of Mormon,977050.98,"$191,283.60",$118.57,"8,2401,066",80,96.62,2.95,2022-02-20,False,Eugene O'Neill Theatre
Chicago,552055.25,"$130,426.50",$86.07,"6,4141,080",80,74.24,10.4,2022-02-20,True,Ambassador Theatre
Come From Away,579563.94,"$139,935.44",$87.36,"6,6341,046",80,79.28,12.0,2022-02-20,False,Gerald Schoenfeld Theatre
Company,851274.24,"$46,476.26",$112.05,"7,5971,046",80,90.79,-3.62,2022-02-20,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,647672.6,"$102,950.00",$94.21,"6,8751,509",60,75.93,4.38,2022-02-20,False,St. James Theatre
Dear Evan Hansen,799251.32,"$127,857.92",$111.89,"7,143984",80,90.74,6.31,2022-02-20,True,Music Box Theatre
Hadestown,946135.19,"$179,518.34",$127.94,"7,395918",80,100.69,2.35,2022-02-20,False,Walter Kerr Theatre
